label,holdout_mae,nov_mae,dec_mae,jan_mae,feb_mae,mar_mae,nov_adj_oe_r,nov_adj_oe_mae,nov_adj_de_r,nov_adj_de_mae,dec_adj_oe_r,dec_adj_oe_mae,dec_adj_de_r,dec_adj_de_mae,jan_adj_oe_r,jan_adj_oe_mae,jan_adj_de_r,jan_adj_de_mae,mar_adj_oe_r,mar_adj_oe_mae,mar_adj_de_r,mar_adj_de_mae
sos_0.85,10.164742469787598,12.709341049194336,10.341257095336914,9.212989807128906,8.867234230041504,9.076916694641113,0.665505898973676,7.348769599056412,0.654461710586237,7.000202986775915,0.9193457979560945,3.7959152199229087,0.9156574750185219,3.8144013353590376,0.9609387853742493,3.1723814266306576,0.9570331227684353,3.279397521480025,0.9683190879237403,2.9519187386148493,0.9589528518501151,3.2562432921292044
sos_0.85_shrink_0.05,10.167341232299805,12.704681396484375,10.360241889953613,9.206881523132324,8.86840534210205,9.088078498840332,0.665533595329397,7.001663477546004,0.6545422796700271,6.6736955526493835,0.9194069516223261,3.595452033045078,0.915736814024518,3.6357697740088986,0.9609610912594904,3.061330027478642,0.9570436964424437,3.1988960583814667,0.9683155928567189,2.91271613032717,0.9589484235657053,3.2262478821950427
baseline,10.17717456817627,12.894594192504883,10.281147003173828,9.1578950881958,8.855022430419922,9.033793449401855,0.5437056877501886,10.44567716182951,0.4918893043515144,10.366473670806684,0.9174423601437247,3.381692222812705,0.9122026916907512,3.148590991993671,0.9647754837093465,2.3494959672504403,0.9616522682707772,1.9930577924176331,0.9612371510888731,2.3799799040075627,0.9577790729929816,2.254468835571959
sos_0.70,10.185729026794434,12.70294189453125,10.392702102661133,9.239246368408203,8.873495101928711,9.1218843460083,0.6803142533608973,7.020607818290435,0.6762917713778529,6.705061527175415,0.9136791462372913,3.7106027787045677,0.9097010756319256,3.722115268425126,0.9527067160703991,3.1533209934672195,0.9477338885380121,3.257524292540787,0.9475432005267092,3.1032967843206234,0.934778458557983,3.300086208500689
shrink_0.05,10.186158180236816,12.86056900024414,10.308792114257812,9.19216537475586,8.863471984863281,9.048677444458008,0.5466307014809481,9.957764375156371,0.49500847631036315,9.937489046686014,0.9204608755685084,3.732115487869777,0.9151770592747926,3.8451795865944063,0.9654981411951677,3.391614938665478,0.962522300498944,3.5208185897703834,0.9660035654615764,4.15704273404468,0.963474537211542,3.0133791375720893
sos_0.50,10.224851608276367,12.728799819946289,10.467059135437012,9.282330513000488,8.886582374572754,9.173269271850586,0.6814489923782541,7.043540031509025,0.6813987839724474,6.742206516400826,0.9013472791447338,3.7394101396872466,0.8953799743609506,3.735437200251065,0.938997221949805,3.2350639963909225,0.9318639790815701,3.3305274277134616,0.919604533991879,3.448909859385093,0.9000726067591943,3.4669395656357533
