cutoff,train_rows,holdout_mae
None (all games),60010,10.138773918151855
12-01,48015,10.502302169799805
12-15,41922,10.612604141235352
12-20,39779,10.914753913879395
01-01,35102,11.051689147949219
01-15,28662,11.049887657165527
