season,gameId,game_date,startDate,slice,homeTeam,awayTeam,book_spread,predicted_spread,model_pick_side,pick_cover_prob,pick_prob_edge,raw_logit_score,filter_score,score_lift_vs_raw_logit,flagged_mainly_by_disagreement,persistence_label,he_market_edge_for_pick,abs_he_vs_market_edge,pick_team_recent_same_sign_count_21d,pick_team_prior_same_sign_streak,neutral_site_flag,signal_driver,usage_label,filter_pass,raw_edge_pass
2026,372587,2026-03-26,2026-03-26 23:10:00+00:00,ncaa_tournament,Purdue,Texas,-8.0,8.587,HOME,0.52,-0.003,0.462,0.357,-0.106,False,new/transient,2.084,2.084,0,0,True,below internal threshold,below internal threshold,False,False
2026,372594,2026-03-26,2026-03-26 23:30:00+00:00,ncaa_tournament,Nebraska,Iowa,-1.5,-1.392,AWAY,0.585,0.061,0.471,0.445,-0.025,False,none,-0.428,0.428,0,0,True,below internal threshold,below internal threshold,False,False
2026,372595,2026-03-26,2026-03-27 01:45:00+00:00,ncaa_tournament,Arizona,Arkansas,-8.5,2.84,AWAY,0.671,0.147,0.493,0.349,-0.144,False,new/transient,-0.698,0.698,0,0,True,raw edge only / filtered out,raw-edge watchlist only,False,True
2026,372586,2026-03-26,2026-03-27 02:05:00+00:00,ncaa_tournament,Houston,Illinois,-2.75,-4.133,AWAY,0.709,0.185,0.503,0.514,0.011,False,none,2.874,2.874,0,0,True,raw edge only / filtered out,raw-edge watchlist only,False,True
