season,gameId,game_date,startDate,slice,homeTeam,awayTeam,book_spread,predicted_spread,model_pick_side,pick_cover_prob,pick_prob_edge,raw_logit_score,filter_score,score_lift_vs_raw_logit,flagged_mainly_by_disagreement,persistence_label,he_market_edge_for_pick,abs_he_vs_market_edge,pick_team_recent_same_sign_count_21d,pick_team_prior_same_sign_streak,neutral_site_flag,signal_driver,usage_label
2026,372582,2026-03-22,2026-03-22 23:10:00+00:00,ncaa_tournament,Florida,Iowa,-10.5,4.238,AWAY,0.664,0.141,0.497,0.502,0.005,False,none,2.126,2.126,0.0,0.0,True,raw edge only / filtered out,raw-edge watchlist only
2026,372576,2026-03-22,2026-03-23 00:30:00+00:00,,Oklahoma State,Wichita State,-2.5,6.045,HOME,0.618,0.094,0.526,0.497,-0.029,False,none,0.0,0.0,0.0,0.0,False,raw edge only / filtered out,raw-edge watchlist only
2026,372584,2026-03-22,2026-03-23 00:45:00+00:00,ncaa_tournament,UConn,UCLA,-4.5,0.591,AWAY,0.616,0.092,0.479,0.499,0.021,False,none,2.909,2.909,1.0,0.0,True,raw edge only / filtered out,raw-edge watchlist only
