case,mu,sigma,cap14_baseline,current_active_market_v1,tapered_context_85_v1,tapered_context_75_v1,bounded_anchor_v1,reduced_context_v1,shape_penalized_v1
neutral_mu0_sigma12,0.0,12.0,0.5,0.5511902886002445,0.5308238053596409,0.5171846149456371,0.4370026846310477,0.5196935486612037,0.5116823610921971
close_game_mu1_sigma12,1.0,12.0,0.5332067518526223,0.590012474854629,0.5695237774496504,0.5557265503725474,0.4623624514005986,0.5384040407550846,0.5303180702879099
moderate_favorite_mu3p5_sigma12p5,3.5,12.5,0.6102612475557972,0.6811349083981154,0.6614328159850922,0.6479746199915449,0.5267322723943121,0.5862499817961438,0.5762825704610345
strong_favorite_mu7_sigma12p5,7.0,12.5,0.712260281150973,0.7890062985420002,0.7724790417934115,0.7609642976555914,0.6152964505350608,0.6513015309074917,0.640125727106551
