candidate,slice,rows,logloss,brier,home_overconfidence,calibration_slope,calibration_intercept
cap14_baseline,ncaa_tournament_neutral,335,0.5727057529683092,0.1934007617221705,-0.06540710249943515,1.5764469213124768,0.08024134769550799
cap14_baseline,conference_tournament_neutral,1380,0.5916583157433333,0.20160998794842747,-0.0667878788990387,1.7118289587449582,0.05016475444837628
cap14_baseline,all_neutral,4079,0.6111711309702996,0.21088075963451935,-0.03425687827310542,1.6038789528251562,0.05688265400048034
cap14_baseline,all_games,36557,0.5167566507150985,0.17347024416783657,-0.0016679013724265612,1.4632355370740804,-0.2070224546342775
current_active_market_v1,ncaa_tournament_neutral,335,0.5556326836697058,0.1873051788887508,-8.356126386721563e-06,1.2925339690033821,-0.19757104958978416
current_active_market_v1,conference_tournament_neutral,1380,0.5765036248802602,0.19554547388374588,-0.027721542649079,1.4492801395739592,-0.10173878869813699
current_active_market_v1,all_neutral,4079,0.6020240240665123,0.2072652568795003,-0.01264612332669568,1.3053971338534154,-0.014464185342261557
current_active_market_v1,all_games,36557,0.5078785507438138,0.16972665007559185,-0.007954018397927864,1.130665407304446,-0.008958195255389531
tapered_context_85_v1,ncaa_tournament_neutral,335,0.5565394847299011,0.1874608254817129,-0.017827667407135483,1.3077009973284617,-0.09207715551794411
tapered_context_85_v1,conference_tournament_neutral,1380,0.5793746799241115,0.19654674638579614,-0.0432222664356231,1.4561955644552294,-0.0019504097784865592
tapered_context_85_v1,all_neutral,4079,0.603399676883047,0.20778355566936005,-0.026968957673183858,1.3188789123050955,0.06690823350157339
tapered_context_85_v1,all_games,36557,0.5081371970314811,0.16982451820498898,-0.012004570989902486,1.1270241771189413,0.01806236361159775
tapered_context_75_v1,ncaa_tournament_neutral,335,0.5580423535029588,0.18796471152383093,-0.02999225632468261,1.317895186650634,-0.020347920664946038
tapered_context_75_v1,conference_tournament_neutral,1380,0.5819144726614178,0.19751387403979412,-0.05371643521323577,1.461910048670943,0.0648186055531174
tapered_context_75_v1,all_neutral,4079,0.604853440803062,0.20838313396081168,-0.03659593434120756,1.3276099494537337,0.12215943527782014
tapered_context_75_v1,all_games,36557,0.5083972700103404,0.1699307526230718,-0.01471797143246889,1.1240078402968074,0.03624770272184921
bounded_anchor_v1,ncaa_tournament_neutral,335,0.6269851845819953,0.21820321377609114,-0.16218009119603172,1.629483430167375,0.7227508327451104
bounded_anchor_v1,conference_tournament_neutral,1380,0.6412818757713185,0.22445920266448188,-0.15690518912413842,1.7120834264668527,0.694148123955484
bounded_anchor_v1,all_neutral,4079,0.6483678460218283,0.2284161051261035,-0.1200198974961757,1.595049160370262,0.6342126508653922
bounded_anchor_v1,all_games,36557,0.5376274643956462,0.18206273915496296,-0.07996684471942916,1.4505984984655103,0.36190105894805213
reduced_context_v1,ncaa_tournament_neutral,335,0.6003502131861344,0.20533552022356477,-0.10199266449729005,2.3962346227625857,0.05904049986930931
reduced_context_v1,conference_tournament_neutral,1380,0.615587331955092,0.21215811756012334,-0.09812410821517303,2.5289371692380436,0.03814462878226249
reduced_context_v1,all_neutral,4079,0.629081009888855,0.21899557425016083,-0.05848464579464152,2.200050786339118,0.15276508663659424
reduced_context_v1,all_games,36557,0.5108639875628875,0.17110218422519904,-0.011506726432097492,1.156943909841447,0.0010514473882524283
shape_penalized_v1,ncaa_tournament_neutral,335,0.606449876744827,0.20802595997793674,-0.12271081200286527,2.0781739409573716,0.333927429786505
shape_penalized_v1,conference_tournament_neutral,1380,0.5959059698447082,0.2034676618797214,-0.03348909356239915,1.908861372320146,-0.3419922068640803
shape_penalized_v1,all_neutral,4079,0.6160772629045493,0.21298997399738076,-0.029758660002198623,1.4937251521452366,0.024754145211929583
shape_penalized_v1,all_games,36557,0.5094956687591591,0.17037659397386937,-0.007031451250959275,1.137170700377753,-0.017658676193225496
