candidate,slice,rows,mae_vs_market,rmse_vs_market,signed_bias_vs_market
cap14_baseline,ncaa_tournament_neutral,314,0.09170823981343265,0.11072889669310973,-0.06830462555502079
cap14_baseline,conference_tournament_neutral,1365,0.07191391415668347,0.0948502539349853,-0.03945166467255755
cap14_baseline,all_neutral,3940,0.09809732642787937,0.12751968547341716,-0.02242120699345729
cap14_baseline,all_games,32221,0.08977734422623333,0.11872959709321367,0.012536229647589816
current_active_market_v1,ncaa_tournament_neutral,314,0.06971356384907569,0.08743270972931569,-0.002644306044481923
current_active_market_v1,conference_tournament_neutral,1365,0.06115332429282633,0.08617292553546005,-0.00038700486659596993
current_active_market_v1,all_neutral,3940,0.09026168850522773,0.12243307162947362,-0.0006737544300921928
current_active_market_v1,all_games,32221,0.0766184215541442,0.10851967070789799,0.004330456663195309
tapered_context_85_v1,ncaa_tournament_neutral,314,0.07214145125972432,0.08990977576879997,-0.02039481678871041
tapered_context_85_v1,conference_tournament_neutral,1365,0.062272005569598735,0.08749268223349399,-0.01589051875603098
tapered_context_85_v1,all_neutral,3940,0.09117906550893441,0.12325939638288697,-0.015032293209791754
tapered_context_85_v1,all_games,32221,0.07696914273696338,0.1086654588674201,-0.00010924833044908846
tapered_context_75_v1,ncaa_tournament_neutral,314,0.07543354093761252,0.09355700529095443,-0.03251883746617367
tapered_context_75_v1,conference_tournament_neutral,1365,0.06467235288336087,0.08989574105474261,-0.026386501438124578
tapered_context_75_v1,all_neutral,3940,0.09285208386798322,0.12476952965876922,-0.02468399984037328
tapered_context_75_v1,all_games,32221,0.07739616005722194,0.10895764389688921,-0.0030833780736116557
bounded_anchor_v1,ncaa_tournament_neutral,314,0.16905725472247227,0.19334540303115605,-0.16454519234930082
bounded_anchor_v1,conference_tournament_neutral,1365,0.13703070774034617,0.16231769278022445,-0.12916211161366778
bounded_anchor_v1,all_neutral,3940,0.14286325330065003,0.1739292187827036,-0.10783922329056654
bounded_anchor_v1,all_games,32221,0.11743861981241163,0.14442199677295292,-0.07042722006992902
reduced_context_v1,ncaa_tournament_neutral,314,0.12181948758819912,0.14722670500467064,-0.10629566667091522
reduced_context_v1,conference_tournament_neutral,1365,0.09809599242401523,0.12309661700981972,-0.07055963886690256
reduced_context_v1,all_neutral,3940,0.11672330215457528,0.14554869688610778,-0.04656254999191594
reduced_context_v1,all_games,32221,0.08032458349627464,0.11224269382232259,0.0006847263513983965
shape_penalized_v1,ncaa_tournament_neutral,314,0.13659645034047171,0.16307443035550537,-0.12731208475057693
shape_penalized_v1,conference_tournament_neutral,1365,0.07670083823270671,0.10118495876380132,-0.006174343090245439
shape_penalized_v1,all_neutral,3940,0.10419996128500407,0.13479069257912957,-0.01730812516936611
shape_penalized_v1,all_games,32221,0.07830991215583048,0.11043077959392532,0.005436057631025158
