candidate,slice,context,rows,avg_favored_prob,favored_win_rate,favored_gap_actual,avg_market_favored_prob,favored_gap_market
cap14_baseline,ncaa_tournament_neutral,favorite_tail_80,25,0.831046016216278,0.88,-0.048953983783721955,0.879819599970642,-0.048773583754363914
cap14_baseline,ncaa_tournament_neutral,close_game_prob_band,79,0.5240542322774476,0.5316455696202531,-0.007591337342805482,0.601271865595006,-0.0770455750027571
cap14_baseline,ncaa_tournament_neutral,moderate_favorite_band,105,0.7280296671958196,0.8380952380952381,-0.11006557089941849,0.7942409489698746,-0.06691085341022673
cap14_baseline,conference_tournament_neutral,favorite_tail_80,27,0.8246492097775141,0.8518518518518519,-0.027202642074337757,0.8528475984687669,-0.031093771616738763
cap14_baseline,conference_tournament_neutral,close_game_prob_band,261,0.5251014472424299,0.5670498084291188,-0.041948361186688876,0.5711185861737987,-0.04594168709046609
cap14_baseline,conference_tournament_neutral,moderate_favorite_band,478,0.709374600499245,0.8284518828451883,-0.11907728234594339,0.7626740866681512,-0.05334728962056823
cap14_baseline,all_neutral,favorite_tail_80,127,0.8434009879358172,0.8740157480314961,-0.030614760095678872,0.8188613001017084,0.020186367468703725
cap14_baseline,all_neutral,heavy_favorite_90,11,0.9210244417190552,0.8181818181818182,0.10284262353723694,0.7196431702587525,0.20147676431005002
cap14_baseline,all_neutral,close_game_prob_band,1014,0.5248233286821866,0.5424063116370809,-0.017582982954894244,0.5997943551625682,-0.07502346350226285
cap14_baseline,all_neutral,moderate_favorite_band,1055,0.7078746699043925,0.8123222748815165,-0.10444760497712402,0.7679145512005383,-0.060153353380347996
cap14_baseline,all_games,favorite_tail_80,8654,0.9111549519381251,0.9414143748555581,-0.030259422917433,0.871281201831192,0.001476365363366261
cap14_baseline,all_games,heavy_favorite_90,4662,0.966047816844725,0.9678249678249679,-0.001777150980242892,0.8914670863069633,0.04600957211435541
cap14_baseline,all_games,close_game_prob_band,5300,0.5249718488780958,0.5533962264150943,-0.028424377536998557,0.6013804615915875,-0.07642378306131237
cap14_baseline,all_games,moderate_favorite_band,11499,0.7145383668944715,0.784676928428559,-0.07013856153408748,0.7568512618965123,-0.04247294665998058
current_active_market_v1,ncaa_tournament_neutral,favorite_tail_80,86,0.8592034155546233,0.8837209302325582,-0.024517514677934837,0.8633017122610136,-0.004036200316833161
current_active_market_v1,ncaa_tournament_neutral,heavy_favorite_90,10,0.9164366006851197,0.8,0.11643660068511963,0.9108816803250488,0.005554920360070881
current_active_market_v1,ncaa_tournament_neutral,close_game_prob_band,48,0.5244422107934952,0.6041666666666666,-0.07972445587317145,0.5790162342118091,-0.05552587166514844
current_active_market_v1,ncaa_tournament_neutral,moderate_favorite_band,106,0.7185195695679143,0.7735849056603774,-0.05506533609246311,0.7116079439640185,0.0082352341382671
current_active_market_v1,conference_tournament_neutral,favorite_tail_80,137,0.8276519659009293,0.9124087591240876,-0.08475679322315832,0.8429385651066426,-0.016116998043664177
current_active_market_v1,conference_tournament_neutral,heavy_favorite_90,3,0.9086139798164368,1.0,-0.09138602018356323,0.8961873198285917,0.00821329705563989
current_active_market_v1,conference_tournament_neutral,close_game_prob_band,190,0.52374451489825,0.5684210526315789,-0.044676537733328914,0.5692802179354726,-0.04552561028718105
current_active_market_v1,conference_tournament_neutral,moderate_favorite_band,571,0.7211487789078894,0.7845884413309983,-0.06343966242310883,0.7130944983825777,0.00839843594990708
current_active_market_v1,all_neutral,favorite_tail_80,352,0.847157454689626,0.8806818181818182,-0.03352436349219223,0.8341416431979533,0.008860354863412856
current_active_market_v1,all_neutral,heavy_favorite_90,42,0.9230812747208845,0.9047619047619048,0.01831936995897976,0.8440379803255275,0.07498898981679092
current_active_market_v1,all_neutral,close_game_prob_band,818,0.5243968700939985,0.5293398533007335,-0.00494298320673503,0.597893562398004,-0.07360574429975553
