season,gameId,game_date,startDate,slice,homeTeam,awayTeam,book_spread,predicted_spread,model_pick_side,pick_cover_prob,pick_prob_edge,raw_logit_score,filter_score,score_lift_vs_raw_logit,flagged_mainly_by_disagreement,persistence_label,he_market_edge_for_pick,abs_he_vs_market_edge,pick_team_recent_same_sign_count_21d,pick_team_prior_same_sign_streak,neutral_site_flag,signal_driver,usage_label
2026,372558,2026-03-18,2026-03-19 01:00:00+00:00,,New Mexico,Sam Houston,-11.5,7.18,AWAY,0.657,0.133,0.526,0.52,-0.006,False,none,0.0,0.0,0.0,0.0,False,raw edge only / filtered out,raw-edge watchlist only
2026,372555,2026-03-18,2026-03-19 00:00:00+00:00,,Illinois State,Kent State,-5.5,8.26,HOME,0.612,0.088,0.522,0.493,-0.029,False,none,0.0,0.0,0.0,0.0,False,raw edge only / filtered out,raw-edge watchlist only
