season,gameId,game_date,startDate,slice,homeTeam,awayTeam,book_spread,predicted_spread,model_pick_side,pick_cover_prob,pick_prob_edge,raw_logit_score,filter_score,score_lift_vs_raw_logit,flagged_mainly_by_disagreement,persistence_label,he_market_edge_for_pick,abs_he_vs_market_edge,pick_team_recent_same_sign_count_21d,pick_team_prior_same_sign_streak,neutral_site_flag,signal_driver,usage_label,filter_pass,raw_edge_pass
2026,372513,2026-03-18,2026-03-18 22:40:00+00:00,ncaa_tournament,Prairie View A&M,Lehigh,3.5,-0.953,HOME,0.584,0.06,0.47,0.4,-0.07,False,new/transient,2.772,2.772,0.0,0.0,True,below internal threshold,below internal threshold,False,False
2026,372554,2026-03-18,2026-03-18 23:00:00+00:00,,Wake Forest,Navy,-12.5,12.848,HOME,0.511,-0.013,0.501,0.488,-0.013,False,none,0.0,0.0,0.0,0.0,False,below internal threshold,below internal threshold,False,False
2026,372555,2026-03-18,2026-03-19 00:00:00+00:00,,Illinois State,Kent State,-5.5,8.26,HOME,0.612,0.088,0.522,0.493,-0.029,False,none,0.0,0.0,0.0,0.0,False,raw edge only / filtered out,raw-edge watchlist only,False,True
2026,372556,2026-03-18,2026-03-19 00:00:00+00:00,,Utah Valley,George Washington,-2.5,3.282,HOME,0.532,0.008,0.508,0.492,-0.016,False,none,0.0,0.0,0.0,0.0,False,below internal threshold,below internal threshold,False,False
2026,372557,2026-03-18,2026-03-19 01:00:00+00:00,,Bradley,Dayton,1.5,0.272,HOME,0.556,0.032,0.506,0.515,0.01,False,none,0.0,0.0,0.0,0.0,False,below internal threshold,below internal threshold,False,False
2026,372558,2026-03-18,2026-03-19 01:00:00+00:00,,New Mexico,Sam Houston,-11.5,7.18,AWAY,0.657,0.133,0.526,0.52,-0.006,False,none,0.0,0.0,0.0,0.0,False,raw edge only / filtered out,raw-edge watchlist only,False,True
2026,372512,2026-03-18,2026-03-19 01:15:00+00:00,ncaa_tournament,Miami (OH),SMU,0.0,-3.38,AWAY,0.593,0.069,0.474,0.252,-0.221,False,new/transient,-6.221,6.221,0.0,0.0,True,below internal threshold,below internal threshold,False,False
2026,372559,2026-03-18,2026-03-19 02:00:00+00:00,,Nevada,Murray State,-8.5,5.471,AWAY,0.598,0.074,0.516,0.519,0.003,False,none,0.0,0.0,0.0,0.0,False,below internal threshold,below internal threshold,False,False
2026,372561,2026-03-18,2026-03-19 03:00:00+00:00,,California,UIC,-5.5,8.726,HOME,0.595,0.071,0.522,0.497,-0.026,False,none,0.0,0.0,0.0,0.0,False,below internal threshold,below internal threshold,False,False
2026,372560,2026-03-18,2026-03-19 03:00:00+00:00,,Colorado State,Saint Joseph's,-5.5,5.649,HOME,0.506,-0.018,0.503,0.491,-0.012,False,none,0.0,0.0,0.0,0.0,False,below internal threshold,below internal threshold,False,False
